Radius_[microns],slice_1,slice_2,slice_3,slice_4,slice_5,slice_6,slice_7,slice_8,slice_9,slice_10,slice_11,slice_12,slice_13,slice_14,slice_15,slice_16,slice_17,slice_18,slice_19,slice_20,slice_21,slice_22,slice_23,slice_24,slice_25,slice_26,slice_27,slice_28,slice_29,slice_30,slice_31,slice_32,slice_33,slice_34,slice_35,slice_36,slice_37,slice_38,slice_39,slice_40,slice_41,slice_42,slice_43,slice_44,slice_45,slice_46,slice_47,slice_48,slice_49,slice_50,slice_51,slice_52,slice_53,slice_54,slice_55,slice_56,slice_57,slice_58,slice_59,slice_60,slice_61,slice_62,slice_63,slice_64,slice_65,slice_66,slice_67,slice_68,slice_69,slice_70,slice_71,slice_72,slice_73,slice_74,slice_75,slice_76,slice_77,slice_78,slice_79,slice_80,slice_81,slice_82,slice_83,slice_84,slice_85,slice_86,slice_87,slice_88,slice_89,slice_90,slice_91,slice_92,slice_93,slice_94,slice_95,slice_96,slice_97,slice_98,slice_99,slice_100,slice_101,slice_102,slice_103,slice_104,slice_105,slice_106,slice_107,slice_108,slice_109,slice_110,slice_111,slice_112,slice_113,slice_114,slice_115,slice_116,slice_117,slice_118,slice_119,slice_120,slice_121,slice_122,slice_123,slice_124,slice_125,slice_126,slice_127,slice_128,slice_129,slice_130,slice_131,slice_132,slice_133,slice_134,slice_135,slice_136,slice_137,slice_138,slice_139,slice_140,slice_141
26.572,5,4.625,5,4.75,4.5,4.75,4.875,4.625,4.625,5.25,5.375,5.875,6.625,7.625,9.5,13.375,16.125,19.75,21.875,25,25.375,26,26,26.875,27.125,26.875,26,27,27.5,25.375,25.75,24,22.25,20.25,19.5,19,17.75,17.5,17.375,17.75,17.25,19.5,18.5,19.25,19.375,19.75,21.875,20.75,20.875,21.375,22,21.875,23.625,23.125,23.375,23.125,24.25,24.25,23.75,27,26.75,27.625,27.75,28.125,27.125,28.25,28.625,29.125,29.375,27.625,27.75,28,27.875,28.25,25.625,25.625,26.625,26.25,26,25.75,24.875,25,24.375,25.25,24.5,24.125,22,21.875,23.375,22.5,22.5,22.625,21.875,21.625,22,22.125,20.5,21.125,21.125,20.875,20.5,21.625,20.75,19.75,20.875,20.375,20.875,20,19.75,18.75,19.625,20.25,19,18.625,19.5,18.625,18.375,18,16.75,17.5,17.375,17.5,17.5,18,17.625,17.125,17.125,17.75,17.375,15.875,17.625,17.5,17.625,17.625,16.5,16.625,16.625,16.625,16,15.75,17
53.143,4.8125,4.8125,4.6875,4.8125,4.75,4.5625,4.6875,4.6875,4.75,5.4375,5.5,5.625,6.4375,7.9375,9.8125,13.6875,16.875,20.375,22.375,26.25,26.9375,27.9375,27.3125,27.5625,27.9375,28,26.5,26.75,27.125,24.9375,25.875,24.4375,23.375,21.1875,19.9375,19.4375,18.875,18.625,17.9375,18.75,18.625,19.6875,19.0625,19.875,20,21.0625,22.5,21.625,22.4375,22,23.5,23.5625,24.3125,24,24.5,24.625,24.9375,25.75,25,28.1875,28,27.875,28.375,28.875,27.875,28.25,28.4375,30,29.875,27.375,27.9375,28.1875,28.125,27.9375,26.25,25.625,26.4375,27,26.1875,26.25,25.1875,24.5625,24.375,25.25,24.1875,23.4375,21.75,21.875,23.1875,22.0625,22.25,23.3125,21.5,21.625,22.25,22.8125,20.75,21.1875,20.0625,20.375,20.8125,21.3125,20.25,20.3125,20.75,20.75,21.0625,20.0625,19.8125,18.4375,19.625,20.1875,18.9375,18.0625,19.5625,18.1875,18,18.1875,16.5625,18,16.8125,17.1875,17.4375,18.3125,17.9375,16.6875,17.4375,18.3125,17.4375,15.875,18,17.1875,17.375,17.4375,17,16.625,16.5,16.125,16.8125,15.9375,16.25
79.715,4.9,4.45,4.8,4.75,4.85,4.8,5.15,4.9,4.75,4.95,5.5,5.65,6.35,7.55,9.8,13.5,16.4,20.85,22.45,25.7,26.6,27.05,27.2,27.6,27.45,27.85,26.1,26.8,27.5,25.4,26.15,25.7,24,22.35,21.6,20.45,19.6,19.6,19.3,20.4,19.6,20.75,19.95,20.75,21.1,21.35,23.5,22.2,23.3,23.15,24.2,23.8,25,24.85,25.5,24.8,25.65,26.25,25.55,28.95,28.35,28.65,28.15,29.3,28.9,28.45,28.75,29.95,29.9,27.8,28,28.55,28.05,27.9,25.9,25.5,26.15,26.75,26,25.1,24.85,24.6,24.5,25.05,23.9,22.9,21.5,21.8,23.1,22.1,22.4,22.7,21.15,21.7,22,22.3,20.8,21.15,20.3,20.35,21.1,21.3,20.25,20.25,21,20.75,20.45,19.45,19.65,18.95,19.75,20.05,19.55,17.95,19.2,18.6,18.05,18.1,17.05,17.8,17.3,17.25,17.45,17.95,17.95,17.05,17.05,17.8,17.35,16.15,17.6,17.05,17.5,17.5,16.65,16.7,16.4,16.15,16.55,15.5,16.3
106.287,4.958333,4.708333,5.041667,4.875,4.625,4.916667,4.875,4.708333,4.833333,5.20833,5.5,5.70833,6.41667,7.41667,9.83333,13.83333,16.5833,20.9167,22.4583,25.5,26.5417,27.1667,26.9583,27.3333,27.375,27.125,26,26.4583,27,24.9167,25.875,25.2083,24.25,22.4583,21.6667,21.5,20.3333,20.7083,20.2917,21.7083,21.0417,21.8333,21,21.9167,21.9583,22.875,24.5833,23.3333,24.0417,23.5833,24.8333,24.5417,25.875,25.4583,26.1667,25.2083,25.9167,26.4583,25.3333,28.7917,28.7917,28.125,28.5833,29.875,28.25,28.3333,28.8333,29.7917,29.1667,27.3333,27.75,28.375,27.4583,27.7917,25.75,25.2083,25.5,26.3333,25.4167,25.4167,24.75,24.25,23.7917,24.5417,23.2917,22.7917,21,21.7083,22.75,21.625,21.75,22.5,20.7083,21.125,21.5,22.125,20.4583,20.9167,19.9583,20.1667,20.5417,21.0833,20.375,19.8333,20.5833,20.2917,20.5417,19.75,19.5833,17.9167,19.625,19.5833,18.8333,17.7083,18.75,18.0417,17.9583,17.9583,16.8333,17.4583,16.7917,16.6667,17.1667,17.5833,17.5,17.0417,16.8333,17.5,16.9167,15.5833,17.2083,16.9167,16.8333,17.0417,16.4167,16.8333,16.0417,16.0833,16.2917,15.2083,16.25
132.859,4.9,4.6,4.75,4.725,4.75,4.725,4.875,4.725,4.725,5.125,5.65,5.525,6.325,7.6,10.075,13.875,16.55,20.875,21.9,25.2,26.325,27.025,26.7,27.05,26.825,27.125,25.975,26.225,26.875,25.075,26.375,25.5,24.35,22.85,22.5,22.3,21.425,21.775,21.075,22.325,21.75,22.725,22.15,23.275,23.375,23.825,25.625,24.2,24.75,24.675,25.425,25.25,25.65,25.675,26.025,25.125,25.425,26.175,25.35,28.525,28.125,27.95,27.95,29,27.75,28.025,27.85,29.35,28.875,26.825,27.15,27.25,26.9,26.925,24.975,24.4,25.45,25.7,25.025,24.775,24.175,23.6,23.4,24.275,22.95,22.475,20.85,21.1,22.075,21.35,21.55,22.325,20.55,20.725,21.225,21.225,20.05,20.475,19.725,19.525,20.375,20.725,19.9,19.625,20.525,19.8,20.175,19.4,18.9,18.125,19.325,19.55,18.375,17.625,18.55,18.1,17.875,17.725,16.25,17.275,16.6,16.75,17,17.575,17.25,16.5,16.725,17.475,16.65,14.95,17.15,16.55,16.75,17.025,16.1,16.75,16.05,15.725,16,15.275,15.55
159.43,4.777778,4.833333,4.861111,4.777778,4.666667,4.777778,4.833333,4.805555,4.694445,5.08333,5.52778,5.36111,6.30556,7.5,10,13.41667,16.3333,20.4444,21.9167,25.3611,25.9722,26.8611,26.6111,27.0833,27.0556,27.1944,25.6667,26.1111,26.9444,24.9722,26.4722,25.8889,24.9722,23.3333,22.8611,22.8889,21.7222,21.7778,21.8889,22.5,22.7778,23.4167,22.6667,23.3056,23.5833,24.2222,25.6667,24.5278,24.8889,24.7222,25.4722,25.2778,25.4722,25.3333,25.6389,24.8611,24.9722,25.3889,24.4444,27.8333,27.5,27.3889,26.9722,28.3056,27.1389,27.4444,27.7222,28.9722,28.3333,26.4722,26.6667,26.6667,26.8611,26.5556,24.5833,24.1667,25.1389,25.3333,24.9167,24.5556,23.8056,23.5278,23.3611,23.7778,22.7778,22.1389,20.7222,21.2222,21.9722,21,21.4167,22.0833,20.5278,20.7778,20.6944,21.1111,19.6667,20.3889,19.7222,19.6667,19.7222,20.4722,19.6111,19.2778,20.0833,19.8056,20,19.3611,18.9722,17.8333,18.7222,19.3889,18.1389,17.3889,18.5,17.8611,17.3611,17.2778,16.2778,17.2778,16.4167,16.4167,16.9167,17.2222,17.0278,16.5,16.5,17.1389,16.6389,15.1667,16.6111,16.5,16.6111,16.6667,16.0833,16.4167,15.8611,15.3611,15.6389,14.9722,15.5556
186.002,4.916667,4.645833,4.875,4.875,4.6875,4.708333,4.875,4.895833,4.75,5.25,5.45833,5.60417,6.33333,7.5625,9.75,13.41667,16.2292,20,22,25.1042,26,26.6667,26.5208,26.7917,26.9375,26.7708,25.5208,26,26.7292,25.3125,26.6875,26.2917,25.1667,24.2708,23.3333,23.125,22.375,22.4792,22.4375,23.8333,23.6875,24.3333,23.6458,24.5625,24.7083,25.4792,27,25.7083,25.7083,25.5,26.375,26.0208,26.4583,26.0417,26.2083,25.3125,25.4375,25.9167,25.25,27.9583,27.7708,27.4583,27.5,28.3542,26.7708,27.1458,27.4583,28.375,28.0625,25.9792,26.4375,26.7708,26.4375,26.2917,24.4583,23.7083,24.6667,24.9375,24.3958,24.0833,23.3125,23.0417,22.9583,23.4167,22.4583,22.0208,20.4375,20.5625,21.8125,20.5625,21.25,21.5208,20.1458,20.2917,20.5417,20.9583,19.375,19.8958,19.4583,19.375,19.7292,20.2292,19.6042,18.9375,19.75,19.5208,19.8333,18.9375,18.8958,17.6042,18.875,19.1667,17.9583,17,18.0625,17.4583,16.9167,17.4167,15.8125,16.9167,16.4167,16.0625,16.6042,17.125,16.7083,16.1875,16.25,17.1458,16.3542,14.8125,16.4792,16.5208,16.4375,16.6667,16.0625,16.0833,15.6458,15.3125,15.6875,14.8542,15.1667
212.574,4.964286,4.678571,4.892857,4.803571,4.642857,4.607143,4.785714,4.660714,4.696429,5.25,5.33929,5.44643,6.46429,7.53571,9.76786,13.375,16.25,20.3036,21.9643,25.1429,25.8393,26.7143,26.5893,26.7857,27.0357,27.0179,25.5357,26.1964,26.9821,25.1071,26.7321,26.2679,25.5179,24.25,24.2321,23.75,22.8036,23.0714,23,24.1786,24.1786,25.0893,24.2321,25.3393,25.4107,26,27.8393,26.1607,27.1071,26.25,27.0357,26.625,26.7857,26.625,26.6071,26.1607,25.7321,26.4286,25.4107,28.3214,28.125,27.8571,27.5714,28.8571,26.875,26.9821,27.2857,28.3929,27.7857,25.9821,26.3571,26.5893,25.9464,26.1429,24.1786,23.7321,24.5714,24.7143,24.2679,23.6964,23.1071,22.9821,22.6071,23.4107,22.375,21.6429,20.4821,20.5,21.6964,20.7143,21,21.5179,20.125,20.125,20.625,20.8929,19.5536,20.125,19.4286,19.1607,19.5179,20.1429,19.3214,18.75,19.8571,19.3214,19.4107,18.8929,18.5,17.3929,18.7321,18.7857,17.9643,16.8929,17.9286,17.0536,17.0714,17.1071,15.7143,16.8571,16.0179,16.0893,16.5893,17.0536,16.7857,15.9464,16.3393,16.7143,16.1964,14.75,16.4821,16.1607,16.2857,16.3929,15.875,16.0536,15.6071,15.125,15.3036,14.5714,15.1429
239.145,4.875,4.821429,4.785714,4.785714,4.571429,4.857143,4.857143,4.803571,4.732143,5.08929,5.5,5.57143,6.375,7.64286,9.80357,13.42857,16.1071,20.2321,21.8929,25.2321,26,26.8036,26.6071,26.7143,26.6964,26.9464,25.25,26.1786,26.7143,24.9821,26.5,26.5536,25.7321,24.9464,24.4464,24.3571,23.5,23.2143,23.4107,24.5893,24.0357,24.9464,24.4643,25.5714,25.4821,26.0536,27.9643,26.3036,26.9821,26.1429,27.1786,26.8929,27.25,26.6964,26.9107,25.8929,26.3214,26.3393,25.6786,28.7143,27.9821,28.1607,27.625,28.8036,26.8214,27.1964,27.4286,28.1964,28.0179,26,26.2857,26.375,26.0893,25.9286,24.125,23.8036,24.3929,24.6071,24.1607,23.6607,23.0536,22.9821,22.7679,22.9643,22.3214,21.8214,20.0536,20.4107,21.4464,20.6429,20.7679,21.4821,19.9286,20,20.5357,20.8214,19.3214,19.9286,19.1786,19.0179,19.5179,20.2143,19.0893,18.8036,19.7143,19.4286,19.4464,18.6071,18.6429,17.3929,18.75,18.6607,17.8036,16.875,18,17.2679,16.8929,16.9107,15.7321,16.6071,15.875,15.9821,16.3393,16.8571,16.625,15.7143,16.0536,16.7857,16.0536,14.75,16.4821,15.875,16.0179,16.4643,15.8571,15.9464,15.5179,15.0536,15.3214,14.5179,14.9107
265.717,4.985294,4.617647,4.911765,4.808824,4.661765,4.897059,4.867647,4.808824,4.720588,5.16176,5.48529,5.55882,6.35294,7.45588,9.76471,13.51471,16.2353,20.6029,22.0147,25.4118,26.0588,26.7941,26.5735,26.9853,26.9118,26.9412,25.5294,26.3235,26.9559,25.0882,26.9412,26.7206,26,24.9265,24.5735,24.5882,23.6471,23.8824,23.5,24.5882,24.0882,25.3235,24.4706,25.3382,25.2941,25.8382,27.5882,26,26.3529,25.9265,26.7941,26.4559,26.7647,26.3971,26.3235,25.7794,25.9853,26.1471,25.4853,28.2206,27.9559,27.7647,27.3824,28.4706,26.9853,27.0147,27.3382,28.2353,27.8824,25.9265,26.0147,26.2206,26,25.9706,24.1765,23.5147,24.4706,24.7794,24.3235,23.7647,23.2353,22.7794,22.5588,23.1176,22.2794,21.5294,20.3235,20.6176,21.3971,20.5,20.9412,21.5441,20.1912,20.1912,20.2794,20.6618,19.5735,19.9265,19.25,19.0147,19.5882,19.9559,19.2647,18.6912,19.6618,19.2353,19.5,18.4118,18.3824,17.2647,18.6471,18.6912,17.8088,16.9118,17.9706,17.25,16.8235,16.9412,15.5735,16.6324,16.2206,15.8676,16.1912,16.9853,16.4265,15.8824,16.0882,16.8529,15.9559,14.8382,16.4412,15.8971,16.0735,16.3088,15.6618,15.9853,15.6471,15.0735,15.3088,14.6324,15.2647
