Radius_[microns],slice_1,slice_2,slice_3,slice_4,slice_5,slice_6,slice_7,slice_8,slice_9,slice_10,slice_11,slice_12,slice_13,slice_14,slice_15,slice_16,slice_17,slice_18,slice_19,slice_20,slice_21,slice_22,slice_23,slice_24,slice_25,slice_26,slice_27,slice_28,slice_29,slice_30,slice_31,slice_32,slice_33,slice_34,slice_35,slice_36,slice_37,slice_38,slice_39,slice_40,slice_41,slice_42,slice_43,slice_44,slice_45,slice_46,slice_47,slice_48,slice_49,slice_50,slice_51,slice_52,slice_53,slice_54,slice_55,slice_56,slice_57,slice_58,slice_59,slice_60,slice_61,slice_62,slice_63,slice_64,slice_65,slice_66,slice_67,slice_68,slice_69,slice_70,slice_71,slice_72,slice_73,slice_74,slice_75,slice_76,slice_77,slice_78,slice_79,slice_80,slice_81,slice_82,slice_83,slice_84,slice_85,slice_86,slice_87,slice_88,slice_89,slice_90,slice_91,slice_92,slice_93,slice_94,slice_95,slice_96,slice_97,slice_98,slice_99,slice_100,slice_101,slice_102,slice_103,slice_104,slice_105,slice_106,slice_107,slice_108,slice_109,slice_110,slice_111,slice_112,slice_113,slice_114,slice_115,slice_116,slice_117,slice_118,slice_119,slice_120,slice_121,slice_122,slice_123,slice_124,slice_125,slice_126,slice_127,slice_128,slice_129,slice_130,slice_131,slice_132,slice_133,slice_134,slice_135,slice_136,slice_137,slice_138,slice_139,slice_140,slice_141
26.572,11.625,11.25,11.5,11.125,10.625,10.875,11.5,11.75,10.75,11.25,11.375,11.125,11.375,11.25,11.25,12,12.125,13,12.5,14.25,15.625,16.75,17.375,19.25,19.5,20.25,20,21.5,23,21.125,23.5,21.75,20.25,21.5,20.125,19.75,18.75,18.875,18.125,18.375,16.875,18.125,16.5,17.125,16.625,16.625,17.375,16.75,17.125,16.75,17.5,18,17.25,17.375,17.25,16.75,17.5,17.875,16.875,18.25,18.25,18.75,18.875,19.125,18.25,20.125,19.125,20,19.625,19.125,19.125,20.125,19.875,19.125,18.875,18.875,19.375,20.625,20.125,20,19.875,20,19.75,20.25,20.125,19.75,18.125,19.125,20.5,19.375,20.25,21,19.625,19.75,20.25,21.375,20,20.125,19.625,19.75,20.375,20.375,20.375,20.25,20.125,21.25,21.375,20.375,20.625,19.125,21.125,21.5,19.625,18.875,20.5,20.25,20.5,20.625,17.5,20,18.875,19.75,19.875,20.25,19.875,19,20.5,19.625,20.375,18.75,19.375,19.75,20.5,20.125,20.75,20.375,20.125,19.25,19.625,18.75,19.75
53.143,11.4375,11.125,11.4375,11,10.5625,10.8125,11.625,11,10.6875,11.1875,10.9375,10.9375,11.25,10.8125,11.5,12,11.875,13.125,12.375,14.5625,15.5,16.5,17.5625,18.6875,19.5,20.4375,20,21.6875,23,22.0625,23.9375,22.8125,21.3125,21.4375,20.3125,19.9375,19.5,19,18.75,18.9375,17.125,18.0625,16.8125,17.5625,17.1875,17.125,18,17.25,18,17.4375,17.8125,18.75,18.1875,17.5,17.75,17.875,17.875,18.5625,17.5,18.375,18.5625,19.3125,19.4375,19.5625,19.0625,20.3125,19.5625,20.5,20.625,18.9375,19.5625,19.9375,20.125,19.4375,18.9375,19.25,19.8125,20.625,20.25,20.1875,20.125,19.8125,20.0625,20.125,20.0625,19.8125,18.6875,19.25,20.375,19.25,19.5,20.625,19.5,19.5625,20.375,20.875,20.5,20.3125,19.9375,19.9375,20.1875,20.5625,20.5625,19.875,19.5625,20.5,21.125,20.625,20.75,19.5625,20.4375,20.75,20.375,19.375,20.4375,19.5,20.625,19.75,18.375,20.1875,18.8125,18.75,19.4375,20.75,19.4375,19.25,20.125,20.3125,20.25,18.3125,19.6875,20.1875,20.5,20.3125,20.875,20.3125,20.5,19.375,19.9375,18.875,20.0625
79.715,11.55,10.95,11.3,10.95,10.6,11.1,11.5,11.15,10.85,11.35,11.05,11.2,11.35,11.05,11.05,11.9,11.9,12.8,12.75,14.6,15.05,16.6,17.35,18,19.1,20.4,20.25,21.3,22.75,21.85,23.5,22.85,21.75,21.55,21,20.65,19.45,19,18.8,19.3,17.7,18.25,16.85,17.65,17.55,17.8,18.05,17.5,18.15,17.15,18.2,19.05,18.5,18.4,18.1,18.15,18.45,18.75,17.85,18.7,19.2,19.55,19.75,19.8,18.85,20.85,19.7,20.45,20.7,19.4,19.95,19.9,20.4,19.6,19.45,19.15,20,20.95,20.65,20.25,19.95,19.85,20.2,20.8,20.4,20.25,18.6,19.55,20.4,19.55,20.25,20.85,20,20,20.65,21.3,20.3,20.45,19.8,19.95,20.35,20.8,20.1,20.2,19.95,21.15,21.35,20.55,20.3,19.2,20.5,21.4,20.5,19.2,20.45,19.75,21.2,19.8,18.15,19.7,18.95,18.9,19.75,20.25,19.9,19.4,19.85,19.95,19.95,18.45,20.2,20.15,20.6,20.15,21.15,19.95,20.45,19.65,19.8,18.9,20.4
106.287,11.95833,10.875,11.41667,11.16667,10.66667,11,11.41667,11.125,10.75,11.375,10.91667,10.875,11.45833,11.16667,11.33333,11.875,11.70833,12.875,12.5,14.41667,15.20833,16.625,17,18.4583,18.875,20.2083,19.9583,21,22.5,21.7083,23.5417,22.875,21.9583,22.1667,21.6667,21.5833,20.5,19.75,18.9583,19.25,17.9167,18.5417,17.1667,17.8333,17.5833,17.8333,18.5833,17.5,18.2917,17.625,18.5417,19.2083,18.5,18.25,18,18.0833,18.7917,19,17.7083,19.2083,19.4167,19.5417,19.4583,20.25,19.4167,20.9167,19.8333,21,20.4167,19.3333,20.125,20.25,20.1667,19.625,19.1667,19.5417,20.0833,20.9167,20.4583,20.5,20.125,19.875,19.875,21.0417,20.2917,19.9583,18.75,19.2083,20.3333,19.5417,20.25,21.2083,19.9583,20.1667,20.25,21.0417,20.5833,20.5833,19.875,20.375,20.6667,20.75,20.7083,20,19.9167,21.125,20.9583,20.75,20.5833,18.9167,20.7083,21.375,19.9583,19.4583,20.4583,19.9167,20.9583,19.7917,18.375,20.0417,18.9167,19.0417,20.0833,20.4167,19.8333,19.125,20,20.3333,19.9167,18.4167,20.2083,20.25,20.7083,20.25,20.7083,20.1667,19.9167,19.6667,19.5833,19.0417,19.9167
132.859,11.75,11.175,11.525,11.175,10.825,11.275,11.5,11.1,10.475,11.45,11.15,11.175,11.45,11.1,11.525,11.85,12.025,12.925,12.875,14.575,15.1,16.625,17.025,18.075,19.125,20.175,19.675,21.325,22.4,21.925,23.55,23.125,22.15,22.6,22.35,21.725,21.225,20.575,19.975,20.175,18.4,19.325,17.9,18.375,18.3,18.35,18.875,18.1,18.25,18.125,18.8,19.6,18.875,18.65,18.7,18.1,18.8,19.6,18.1,19.3,19.5,19.9,19.925,20.15,19.5,21.275,20,20.975,21.025,19.675,20.225,20.725,20.6,19.925,19.45,19.525,19.975,20.825,20.775,20.55,19.95,20.15,20.25,21,20.35,20.25,18.65,19.35,20.525,19.75,20.2,21.225,19.75,20.075,20.725,21.075,20.275,20.6,19.975,19.75,20.625,20.825,20.475,20.35,19.975,21.025,21.225,20.85,20.425,19.3,21,21.125,20.425,19.175,20.7,19.8,21.075,20,18.325,20.05,18.85,18.775,19.775,20.625,19.775,19.375,20.075,20.325,20.225,18.35,19.85,20.05,20.45,20.1,20.975,20.6,19.95,19.675,19.975,19.475,19.9
159.43,11.88889,10.91667,11.5,11.11111,10.61111,10.94444,11.63889,11.02778,10.5,11.47222,10.97222,11.08333,11.47222,10.77778,11.02778,11.80556,11.61111,12.66667,12.58333,14.41667,15.02778,16.47222,16.8056,18.1111,18.7222,19.75,19.6944,21,22.2222,21.8889,23.0833,23.0278,22.25,23,22.7222,22.3333,21.8333,21.0278,20.6111,20.8611,18.8056,19.9444,17.8333,18.75,18.3611,18.8056,19.3611,18.3889,18.9722,18.5,19.25,19.8889,18.9167,18.8056,18.8056,18.2222,19,19.6944,18.3889,19.5,19.4722,20.0278,20.0278,20.5,19.7778,21.3889,20.0833,21.4722,21.1667,19.6111,20.2222,20.5278,20.5833,20,19.6667,19.5278,20.3056,21.0556,20.8056,20.7778,20.4167,19.9444,20.25,21.1944,20.6389,20.4167,18.6944,19.3611,20.6944,20.3611,20.3056,21.4722,19.9722,19.8333,20.7222,21.3056,20.5556,20.4167,19.9722,20.2778,20.5,20.7778,20.7222,20.4167,19.9444,21,21.5556,20.7222,20.7222,19.5278,20.5556,21.25,20.3333,19.0833,20.5,20.0278,21.3333,20.0556,18.4722,20.25,19.1389,19.1389,19.8889,20.4444,19.75,19.5278,20.0833,20.1389,20.3611,18.2778,20.0278,19.9722,20.5,20.3333,20.8333,20.6944,20.1944,19.4722,20.1111,19.1111,19.8333
186.002,11.83333,10.91667,11.375,11.08333,10.8125,11.20833,11.5625,11.0625,10.60417,11.4375,11.125,11,11.47917,10.89583,11.16667,12.08333,11.79167,12.9375,12.625,14.22917,15.02083,16.625,16.9375,18.1458,18.6875,19.8125,19.7917,21.0833,22.3542,21.5417,23.1667,23.0625,22.1458,23.0208,22.9583,22.9167,22.5208,21.7292,21.2917,21.4792,19.5833,20.3542,18.5208,19.2083,19.0833,19.1667,19.5833,18.7708,19.1042,18.7083,19.25,20,19.25,19.0208,19.0417,18.8542,19.1875,19.9583,18.6458,19.5625,19.7708,20.25,20.4375,20.375,19.8958,21.5625,20.6042,21.2708,21.25,20.0625,20.4792,20.9375,21,20.2292,19.6875,19.7917,20.3958,21.3333,20.9167,21.0833,20.6042,20.6458,20.625,21.0417,20.4792,20.5208,19.0833,19.7917,21,20.125,20.3958,21.25,19.9583,20.1875,20.8333,21.2083,20.6458,20.7292,20,20.2292,20.5833,20.7292,20.9792,20.5417,19.9167,21.1667,21.5,20.75,20.8958,19.625,20.5625,21.3125,20.2917,19.5417,20.7917,19.9167,21.1458,19.8542,18.4583,20,19.0417,19.4583,19.7083,20.6875,19.7708,19.5417,20.0417,20.1875,20.2708,18.3333,20.2292,20.4792,20.5833,20.2292,20.8958,20.625,20.2917,19.6667,20.0208,19.0208,20.1042
212.574,11.82143,11.03571,11.53571,11.01786,10.69643,11.01786,11.60714,11,10.64286,11.19643,11.03571,11.10714,11.64286,11,11.41071,12,11.71429,12.73214,12.66071,14.375,15.10714,16.57143,16.9286,18.2321,18.9643,19.8393,19.5714,21.125,22.3214,21.6786,23.0536,22.875,22.0357,23.3036,23.2143,23.2143,22.8571,22.625,21.6786,22.0893,20.0179,20.9821,19.0536,19.8214,19.4643,19.5179,19.9643,19.0536,19.5714,19.0714,19.7321,20.2143,19.9286,19.4464,19.2857,19.1071,19.4821,20.125,18.7857,20.0357,20.1607,20.625,20.3571,20.8393,20.3571,21.8036,20.6607,21.7321,21.3214,20.1964,20.7679,20.875,20.9107,20.25,19.9464,19.9464,20.7143,21.2679,21.0536,21.1071,20.75,20.3214,20.6429,21.5536,20.8393,20.5536,19,19.6607,20.9821,20.1071,20.5893,21.5,19.9107,20.25,20.9107,21.4821,20.6429,20.8393,20.1429,20.2857,20.4286,21.0893,20.9464,20.3214,19.9643,21.4107,21.625,21.0536,20.7321,19.5536,20.9821,21.4821,20.25,19.4107,20.8571,19.9286,21.4643,20.1607,18.4643,20.2321,18.9464,19.1607,19.7857,20.5714,19.9464,19.4286,20.2321,20.4464,20.1071,18.2143,19.9286,20.1786,20.8036,20.375,21,20.7679,20.1964,19.7679,20,19.125,19.9107
239.145,11.82143,11.10714,11.28571,11.07143,10.60714,10.91071,11.55357,11.05357,10.60714,11.39286,11.08929,11.26786,11.41071,11,11.375,11.91071,11.71429,12.89286,12.55357,14.375,14.875,16.60714,17.1607,18.2679,18.8214,19.7679,19.7857,21.1429,22.1607,21.5357,23.2321,22.9107,22.1786,23.1071,23.1964,23.5,23.1607,23.0179,22.2857,22.7321,20.6607,21.3036,19.4821,20.5,19.6429,20.1429,20.3214,19.2679,19.6786,19.4464,19.9107,20.9464,19.9643,19.7321,19.625,19.4107,19.6964,20.1607,19.0714,20.1429,20.2857,20.9286,20.5179,20.9107,20.3214,21.9107,20.9821,21.6786,21.4286,20.1607,20.7857,20.9464,21.25,20.3214,20.1071,19.9821,20.625,21.1964,21.2321,21.3571,20.8214,20.8571,20.6429,21.5714,20.8929,20.7143,19.3214,19.6786,20.9643,20.2679,20.4286,21.5893,20.1429,20.4286,21.0357,21.5536,20.5536,20.7321,20.1607,20.2679,20.9286,20.9286,21.1786,20.5357,20.0714,21.4286,21.625,20.9464,20.8929,19.8214,21.0357,21,20.6071,19.4643,20.7321,20,21.7321,20.125,18.6071,20.2857,19.1071,19.0357,19.7857,20.6607,19.8929,19.75,20.2679,20.4107,20.3393,18.3214,20.2679,20.3571,20.5893,20.4286,20.8393,20.5357,20.2679,19.9643,20.1071,19.25,20.0357
265.717,11.76471,10.89706,11.47059,10.98529,10.63235,11.17647,11.57353,10.98529,10.47059,11.44118,11.17647,11.02941,11.5,10.86765,11.26471,11.89706,11.79412,12.73529,12.5,14.29412,14.97059,16.5,17.1176,18.1912,18.7941,19.9412,19.5147,21.1618,22.1912,21.5735,23.1471,22.9412,21.9559,23.25,23.25,23.2647,23.0588,23.2647,22.4853,22.7941,20.7353,21.3676,19.4853,20.4118,19.6471,19.8824,20.3235,19.3824,19.7353,19.3529,20,20.7353,19.8529,19.7794,19.6324,19.4265,19.7941,20.2794,19.0441,19.7941,20.5,20.5735,20.5735,21.0735,20.4412,22.0588,20.8382,21.8382,21.7206,20.1912,20.7647,21.25,21.1324,20.5735,20.0441,19.9118,20.7059,21.2059,21.1765,21.3235,20.75,20.5735,20.7794,21.3971,20.7353,20.7059,19.3676,19.8088,20.9118,20.3235,20.8088,21.4265,20.25,20.4265,21.1029,21.5588,20.8382,21,20.3971,20.3824,20.6176,21.0588,21,20.3529,20.1324,21.6029,21.7206,20.7353,20.6765,19.7059,20.9559,21.3824,20.4265,19.5147,21.0441,20.0147,21.5147,20.1176,18.6176,20.3382,19.0882,19.3971,19.9853,20.7206,19.8529,19.6029,20.0735,20.2206,20.1029,18.4118,20.1471,20.3088,20.8382,20.5,21.0147,20.6618,20.2059,19.8676,20.0441,19.1765,20.1029
292.289,11.85938,10.89062,11.23438,10.98438,10.65625,11.20312,11.54688,10.96875,10.5625,11.45312,11.0625,11.17188,11.375,10.82812,11.1875,11.8125,11.59375,12.76562,12.59375,14.42188,15.04688,16.70312,17.1562,18.3594,18.9219,19.9062,19.6094,21.0469,22.2969,21.5156,23.5156,22.9688,22.1875,23.5625,23.3906,23.3281,23.2188,23.125,22.3438,22.8438,20.7188,21.6094,19.2812,20.1719,19.7969,19.8125,20.1406,19.3281,19.7344,19.5312,19.8125,20.7812,19.7344,19.5312,19.4219,19.2656,19.6406,20.25,19,20.1875,20.1406,20.9062,20.6406,21.1875,19.9688,21.7188,20.9688,21.625,21.9062,20.4219,20.8594,21.0938,21.1562,20.5781,20.1406,20,20.6094,21.4531,21.3438,21.1406,20.6719,20.4844,20.7188,21.4375,20.9375,20.7969,19.1562,19.7656,21,20.1406,20.6094,21.7812,20.2031,20.3438,21.1406,21.7031,20.75,20.8594,20.5156,20.2656,20.9219,21.2188,20.7812,20.4375,20.125,21.4219,21.8125,21.0625,20.7344,19.7344,20.8906,21.5,20.7188,19.3594,20.9531,20.125,21.4531,20.0625,18.5625,20.25,19.1406,19.2188,19.8125,20.7031,19.7656,19.8594,20.2188,20.5781,20.4688,18.5781,20.1562,20.2812,20.8125,20.6094,21.2344,20.5625,20.1719,19.875,20.2344,19.25,20.0781
318.861,11.7375,10.8125,11.4375,10.9625,10.7875,10.9875,11.5375,11.05,10.6,11.2875,11.15,11.2,11.4875,10.95,11.2625,12,11.575,12.825,12.45,14.35,15.0625,16.6625,17.1875,18.225,18.825,20.075,19.775,21.1,22.3,21.475,23.225,22.4375,21.8,22.875,22.6875,22.8625,22.55,22.3375,21.75,22.0125,19.9625,20.75,18.825,19.7,19.2,19.3375,19.8875,19.2375,19.2375,18.9,19.6375,20.3375,19.775,19.3875,19.3125,19.1,19.3,19.95,18.7625,19.825,20.075,20.6125,20.3875,20.8375,20.1875,21.725,20.55,21.3875,21.675,20.175,20.5625,20.925,20.95,20.1875,20.0375,19.9625,20.475,21.3125,21.05,21.1875,20.625,20.5,20.4625,21.3625,20.7875,20.45,19.2875,19.875,20.925,20.25,20.65,21.5875,20.2625,20.3875,21.0375,21.375,20.9375,20.95,20.4375,20.35,20.7375,21.1125,20.9125,20.725,20.4375,21.3375,21.6125,20.925,21.1,19.6625,21.0875,21.575,20.75,19.3875,20.9125,20.1875,21.675,20.2625,18.5875,20.3125,19.1625,19.2875,20.3125,20.9,19.9875,19.4875,20.2375,20.55,20.4,18.675,20.2125,20.5125,20.8125,20.4375,21.0125,20.725,20.2,19.675,20.175,19.2375,20.075
345.432,11.86957,10.88043,11.51087,10.88043,10.56522,11.02174,11.6087,10.94565,10.66304,11.44565,11.06522,11.04348,11.47826,11,11.40217,11.8913,11.75,12.84783,12.55435,14.40217,15.01087,16.51087,17.0978,18.3152,18.8696,20.0109,19.7717,21.1413,22.5217,21.587,23.2935,22.7717,21.8804,22.8261,22.6957,22.6957,22.087,21.7283,21.2065,21.5109,19.5978,20.3152,18.6196,19.5109,19.0761,19.2391,19.5326,18.9348,19.2935,18.9674,19.3696,20.2717,19.6848,19.3804,19.1848,18.8804,19.3043,19.8478,18.6196,19.8478,19.9783,20.4239,20.163,20.8804,19.9783,21.6196,20.4891,21.2717,21.3696,19.9891,20.6087,20.913,20.9783,20.1413,19.8913,19.8261,20.5,21.3696,20.9348,21.0652,20.7935,20.5326,20.7717,21.3478,20.7391,20.6087,19.2717,19.75,20.9348,20.3587,20.6196,21.4239,20.25,20.3478,20.9891,21.6196,20.5652,20.9565,20.4239,20.4022,20.837,21.1739,20.9783,20.5109,20.1957,21.4239,21.8696,20.9565,20.9891,19.7935,20.9348,21.5761,20.6087,19.5761,20.8804,20.25,21.5,20.3261,18.4891,20.2935,19.2174,19.3913,19.9891,20.8043,20.0543,19.5652,20.3043,20.4783,20.3261,18.5217,20.3043,20.4674,20.6848,20.6304,21.0109,20.663,20.3587,19.9565,20.3261,19.4348,20.163
372.004,11.71591,10.94318,11.35227,10.93182,10.86364,11.06818,11.52273,10.89773,10.61364,11.32955,11.07955,11.22727,11.51136,10.97727,11.38636,11.85227,11.68182,12.69318,12.45455,14.34091,15.11364,16.55682,17.1023,18.3409,18.9091,20.0568,19.8409,21.2386,22.4318,21.375,23.3068,22.9659,21.7614,22.7955,22.5114,22.2727,21.8409,21.6591,21.0341,21.4773,19.4886,20.3068,18.4886,19.3409,19.0568,19.1477,19.5227,18.875,19.1932,18.6932,19.3977,20.2614,19.5341,19.3636,19.0227,18.8409,19.3636,20.0341,18.6591,19.875,19.9773,20.3523,20.5341,20.7386,20.1364,21.6364,20.5227,21.5455,21.3295,20.0227,20.6932,20.7955,21.0795,20.2955,19.9432,19.8295,20.7386,21.3864,21.0909,21.1705,20.6591,20.6705,20.5682,21.5,20.8523,20.6932,19.5,19.7273,20.875,20.2727,20.75,21.4886,20.25,20.4091,20.9773,21.5455,20.8295,20.8409,20.125,20.2727,20.7727,21.1818,21.0341,20.5455,20.0341,21.5114,21.5455,20.9886,20.9773,19.6477,20.9773,21.5455,20.6023,19.5909,20.8409,20.2386,21.5568,20.2841,18.5341,20.4318,19.2727,19.5227,20.125,20.7614,20.0682,19.7614,20.3523,20.375,20.3864,18.5341,20.2386,20.4091,20.9091,20.3864,21.3636,20.8068,20.2386,20.0114,20.2045,19.2273,20.2273
